id,first_name,last_name,email,phone,city,country,devices
1,Jamie,Bright,Jamie.Bright@example.com,533-849-3913,Montreal, Canada,['Android']
3,Yusra,Fletcher,Yusra.Fletcher@example.com,385-702-8874,Toronto, Canada,"['Android', 'Desktop', 'Iphone']"
5,Beatrix,Everett,Beatrix.Everett@example.com,194-640-2758,Paris, France,['Android']
9,Asa,Vazquez,Asa.Vazquez@example.com,504-421-4485,Toronto, Canada,['Android']
19,Carmen,Burton,Carmen.Burton@example.com,527-368-7429,Toronto, Canada,"['Android', 'Desktop']"
20,Donald,Stone,Donald.Stone@example.com,730-260-4630,London, United Kingdom,"['Android', 'Desktop']"
24,Isabelle,Lopez,Isabelle.Lopez@example.com,981-878-3234,Paris, France,"['Android', 'Iphone']"
26,Julius,Garrett,Julius.Garrett@example.com,866-664-7969,Barcelona, Spain,"['Android', 'Desktop', 'Iphone']"
29,Dafydd,Preston,Dafydd.Preston@example.com,368-987-3267,Barcelona, Spain,"['Android', 'Desktop', 'Iphone']"
30,Stephanie,Rice,Stephanie.Rice@example.com,830-901-9870,Montreal, Canada,['Android']
31,Bradley,Butler,Bradley.Butler@example.com,937-172-2269,Montreal, Canada,['Iphone']
33,Louise,Daniel,Louise.Daniel@example.com,917-348-4728,Barcelona, Spain,"['Android', 'Iphone']"
34,Livia,Howe,Livia.Howe@example.com,868-828-4315,Toronto, Canada,['Iphone']
37,Lili,Schroeder,Lili.Schroeder@example.com,640-348-2128,Toronto, Canada,"['Android', 'Iphone']"
38,Jeremiah,Martin,Jeremiah.Martin@example.com,277-350-5557,London, United Kingdom,['Android']
39,Keyaan,Holland,Keyaan.Holland@example.com,845-797-2979,Barcelona, Spain,"['Android', 'Iphone']"
41,Cody,Riley,Cody.Riley@example.com,872-906-9681,London, United Kingdom,"['Android', 'Desktop', 'Iphone']"
42,Tomas,Griffith,Tomas.Griffith@example.com,492-337-4468,London, United Kingdom,['Iphone']
52,Amaan,Rangel,Amaan.Rangel@example.com,837-435-2302,Montreal, Canada,"['Android', 'Iphone']"
57,Billie,Price,Billie.Price@example.com,917-866-8131,London, United Kingdom,['Desktop']
59,Phoebe,Weiss,Phoebe.Weiss@example.com,299-560-9666,London, United Kingdom,"['Android', 'Desktop']"
65,Aled,Silva,Aled.Silva@example.com,612-360-5367,Toronto, Canada,['Iphone']
68,Saif,Green,Saif.Green@example.com,978-659-7286,Paris, France,['Iphone']
70,Valerie,Oneal,Valerie.Oneal@example.com,651-335-6190,Toronto, Canada,"['Android', 'Desktop', 'Iphone']"
71,Ilyas,Dunlap,Ilyas.Dunlap@example.com,491-981-1293,London, United Kingdom,['Iphone']
73,Kara,Stewart,Kara.Stewart@example.com,794-314-2500,Paris, France,"['Android', 'Iphone']"
74,Myrtle,Doyle,Myrtle.Doyle@example.com,525-796-7991,Toronto, Canada,"['Android', 'Desktop', 'Iphone']"
78,Angela,Mcmillan,Angela.Mcmillan@example.com,868-463-1850,London, United Kingdom,['Android']
91,Amir,Clark,Amir.Clark@example.com,924-287-4068,London, United Kingdom,"['Android', 'Desktop', 'Iphone']"
100,Usman,Swanson,Usman.Swanson@example.com,431-103-9132,London, United Kingdom,"['Android', 'Desktop', 'Iphone']"
103,Caspar,Hudson,Caspar.Hudson@example.com,830-584-4874,Toronto, Canada,['Iphone']
108,Mohsin,Tucker,Mohsin.Tucker@example.com,174-389-8757,Toronto, Canada,['Desktop']
114,Laurie,Melendez,Laurie.Melendez@example.com,488-382-1416,Toronto, Canada,"['Desktop', 'Iphone']"
115,Tanya,Watson,Tanya.Watson@example.com,432-515-4933,Montreal, Canada,"['Android', 'Iphone']"
117,Priya,Moore,Priya.Moore@example.com,455-692-4736,Paris, France,['Desktop']
119,Arron,Peck,Arron.Peck@example.com,226-392-7970,Paris, France,"['Android', 'Iphone']"
120,Justin,Rowland,Justin.Rowland@example.com,665-725-2354,Paris, France,"['Android', 'Iphone']"
121,Jasper,Brandt,Jasper.Brandt@example.com,527-756-7352,London, United Kingdom,['Desktop']
122,Teresa,Mccarty,Teresa.Mccarty@example.com,223-114-4003,Toronto, Canada,"['Desktop', 'Iphone']"
123,Finnian,Fisher,Finnian.Fisher@example.com,382-879-9946,Toronto, Canada,"['Android', 'Iphone']"
125,Nora,Ball,Nora.Ball@example.com,921-528-9551,Barcelona, Spain,['Desktop']
127,Zoya,Giles,Zoya.Giles@example.com,301-750-7631,Toronto, Canada,"['Android', 'Iphone']"
129,Alejandro,Duncan,Alejandro.Duncan@example.com,487-150-9471,London, United Kingdom,['Desktop']
130,Zohaib,Hartman,Zohaib.Hartman@example.com,928-400-6426,Montreal, Canada,['Desktop']
135,Bertie,Ward,Bertie.Ward@example.com,971-922-8663,Montreal, Canada,"['Android', 'Desktop']"
139,Kamran,Wilcox,Kamran.Wilcox@example.com,476-365-7838,London, United Kingdom,"['Android', 'Desktop']"
141,Adriana,Stafford,Adriana.Stafford@example.com,473-741-6496,Montreal, Canada,['Iphone']
142,Everly,Fuentes,Everly.Fuentes@example.com,398-369-8927,Barcelona, Spain,['Android']
147,Eleanor,Mcintosh,Eleanor.Mcintosh@example.com,153-538-3431,Toronto, Canada,['Android']
149,Abdirahman,Mullen,Abdirahman.Mullen@example.com,669-442-8257,Toronto, Canada,"['Android', 'Desktop', 'Iphone']"
152,Matteo,Moon,Matteo.Moon@example.com,830-546-5378,London, United Kingdom,"['Android', 'Iphone']"
153,Blaine,Boyer,Blaine.Boyer@example.com,411-997-1636,London, United Kingdom,['Desktop']
156,Alia,Brooks,Alia.Brooks@example.com,327-292-8469,Montreal, Canada,"['Android', 'Desktop']"
167,Kurtis,Marks,Kurtis.Marks@example.com,690-396-3965,Montreal, Canada,['Desktop']
173,Enya,Hernandez,Enya.Hernandez@example.com,406-397-1498,Barcelona, Spain,['Iphone']
176,Melvin,Flores,Melvin.Flores@example.com,708-692-8746,London, United Kingdom,"['Desktop', 'Iphone']"
180,Dhruv,Villarreal,Dhruv.Villarreal@example.com,931-559-3083,London, United Kingdom,"['Android', 'Desktop']"
188,Ridwan,Houston,Ridwan.Houston@example.com,530-308-5425,London, United Kingdom,['Desktop']
194,Fynn,Graham,Fynn.Graham@example.com,763-842-3292,Toronto, Canada,"['Android', 'Iphone']"
198,Zakir,Russell,Zakir.Russell@example.com,599-588-9264,Toronto, Canada,"['Desktop', 'Iphone']"
199,Asa,Haines,Asa.Haines@example.com,327-464-5734,London, United Kingdom,"['Android', 'Iphone']"
200,Eesa,Buchanan,Eesa.Buchanan@example.com,533-397-5445,London, United Kingdom,"['Android', 'Iphone']"
203,Lili,Patel,Lili.Patel@example.com,823-509-3052,Montreal, Canada,"['Android', 'Desktop']"
204,Philippa,Webster,Philippa.Webster@example.com,407-892-7705,Toronto, Canada,['Android']
208,Jessie,Greer,Jessie.Greer@example.com,950-317-1709,London, United Kingdom,"['Android', 'Desktop', 'Iphone']"
213,Kyran,Wyatt,Kyran.Wyatt@example.com,778-841-9881,Montreal, Canada,"['Android', 'Iphone']"
214,Eugene,Taylor,Eugene.Taylor@example.com,712-926-3402,Toronto, Canada,['Iphone']
218,Tony,Shepard,Tony.Shepard@example.com,416-772-8288,Barcelona, Spain,['Iphone']
219,Sinead,Horne,Sinead.Horne@example.com,340-355-9098,Toronto, Canada,"['Android', 'Desktop']"
222,Sonia,Lowe,Sonia.Lowe@example.com,418-550-4001,Paris, France,['Android']
226,Morgan,Hardy,Morgan.Hardy@example.com,974-761-7628,London, United Kingdom,"['Desktop', 'Iphone']"
228,Ned,Rowland,Ned.Rowland@example.com,400-103-9062,Paris, France,['Iphone']
229,Kate,Cline,Kate.Cline@example.com,927-741-2027,Toronto, Canada,"['Android', 'Desktop']"
231,Darcy,Wall,Darcy.Wall@example.com,109-398-3560,Montreal, Canada,['Desktop']
232,Aisha,Winters,Aisha.Winters@example.com,280-831-1664,Toronto, Canada,['Desktop']
239,Edward,Ayala,Edward.Ayala@example.com,416-337-3343,Montreal, Canada,"['Android', 'Desktop']"
243,Brogan,Fitzgerald,Brogan.Fitzgerald@example.com,955-732-8107,Montreal, Canada,"['Android', 'Iphone']"
244,Taylor,Ramos,Taylor.Ramos@example.com,833-282-1248,Toronto, Canada,"['Android', 'Desktop']"
245,Elsie,Cuevas,Elsie.Cuevas@example.com,186-536-6820,Montreal, Canada,['Iphone']
246,Zara,Washington,Zara.Washington@example.com,679-367-1926,London, United Kingdom,"['Desktop', 'Iphone']"
248,Bethan,Franco,Bethan.Franco@example.com,317-895-5803,Toronto, Canada,['Android']
253,Oskar,Mccarty,Oskar.Mccarty@example.com,582-269-7396,London, United Kingdom,"['Desktop', 'Iphone']"
260,Darcey,Robles,Darcey.Robles@example.com,790-759-5249,London, United Kingdom,['Iphone']
261,Dulcie,Melendez,Dulcie.Melendez@example.com,659-843-5422,Barcelona, Spain,"['Android', 'Desktop']"
262,Everly,Cortez,Everly.Cortez@example.com,954-995-1806,Toronto, Canada,['Android']
263,Tommy,Farmer,Tommy.Farmer@example.com,999-431-4584,Toronto, Canada,['Android']
264,Maximillian,Atkins,Maximillian.Atkins@example.com,421-834-8740,Toronto, Canada,"['Android', 'Iphone']"
269,Yusuf,Salazar,Yusuf.Salazar@example.com,311-351-7403,Toronto, Canada,['Android']
271,Princess,Schneider,Princess.Schneider@example.com,683-604-6287,Paris, France,"['Android', 'Desktop']"
274,Bronte,Riley,Bronte.Riley@example.com,786-291-8203,Toronto, Canada,['Iphone']
277,Fay,Lucas,Fay.Lucas@example.com,436-818-1915,Montreal, Canada,"['Android', 'Iphone']"
281,Rosa,Stone,Rosa.Stone@example.com,922-216-4141,Paris, France,['Iphone']
285,Lorna,Levy,Lorna.Levy@example.com,809-114-1988,Toronto, Canada,['Iphone']
