id,client_email,telephone,promotion,responded
4,Alessandro.French@example.com,216-516-1958,Popsi,Yes
6,Steven.Reid@example.com,490-977-4025,Popsi,Yes
8,Caleb.Obrien@example.com,223-387-1014,Krafty Cheddar,Yes
11,Nora.Donaldson@example.com,414-618-5713,Colgatex,Yes
19,Usman.Swanson@example.com,431-103-9132,Coca-Splash,No
21,Neil.Haynes@example.com,421-219-5363,Coca-Splash,Yes
23,Katrina.Foster@example.com,497-544-5065,Coca-Splash,No
24,Everly.Key@example.com,152-557-5017,GatorBoost,No
31,Rishi.Barron@example.com,331-128-4346,Oreoz,No
33,Faizan.Hill@example.com,572-649-5353,RedCow,No
34,Fraser.Hooper@example.com,228-636-9031,Oreoz,No
35,Nikhil.Peck@example.com,395-769-3300,RedCow,No
40,Brenda.Deleon@example.com,997-981-2043,Flixnet,No
41,Astrid.Delgado@example.com,641-317-3741,Popsi,No
42,Dhruv.Villarreal@example.com,931-559-3083,RedCow,No
47,Safaa.Lopez@example.com,863-714-5286,Colgatex,No
50,Mark.Friedman@example.com,111-862-3502,Flixnet,No
51,Wade.Hancock@example.com,245-455-9119,Popsi,No
54,Jean.Winters@example.com,526-938-2752,KittyKat,Yes
56,Marwa.Dennis@example.com,444-295-8051,GatorBoost,Yes
57,Maximillian.Atkins@example.com,421-834-8740,Oreoz,Yes
73,Mateo.Francis@example.com,508-390-8347,Dovee,Yes
74,Mike.Hurst@example.com,488-247-6930,Dovee,Yes
75,Kaine.Blankenship@example.com,294-274-7917,RedCow,Yes
78,Craig.Mcknight@example.com,634-813-9351,Oreoz,Yes
83,Tomos.Velez@example.com,233-661-3978,RedCow,Yes
85,Patrick.Morse@example.com,220-102-3684,KittyKat,Yes
86,Jim.Moses@example.com,560-446-1279,Popsi,Yes
96,Kitty.Carroll@example.com,305-617-1384,Coca-Splash,No
101,Kacie.Lester@example.com,673-651-6332,GatorBoost,Yes
104,Ann.John@example.com,814-362-6094,RedCow,Yes
109,Zayn.Webb@example.com,561-761-7547,GatorBoost,No
114,Tiago.Dunn@example.com,728-796-4352,Colgatex,Yes
128,Nelson.Huff@example.com,169-619-4582,Coca-Splash,Yes
129,Aoife.Davidson@example.com,628-333-9139,RedCow,Yes
131,Nancy.Blair@example.com,434-174-7916,GatorBoost,No
132,Saoirse.Keller@example.com,699-966-4749,GatorBoost,Yes
133,Traci.Banks@example.com,313-374-6903,KittyKat,No
135,Miriam.Pacheco@example.com,401-464-5796,Krafty Cheddar,Yes
138,Gareth.Sanford@example.com,161-842-7749,KittyKat,No
143,Arjun.Dejesus@example.com,693-790-8692,Dovee,No
147,Danny.Knapp@example.com,665-657-4948,Coca-Splash,No
153,Katrina.Foster@example.com,497-544-5065,KittyKat,No
155,Larissa.Perez@example.com,742-168-6071,Colgatex,No
156,Polly.Reyes@example.com,296-740-3450,GatorBoost,No
158,Marissa.Hayes@example.com,365-359-3043,Oreoz,No
161,Brooke.Barron@example.com,715-588-5341,Colgatex,No
166,Amir.Clark@example.com,924-287-4068,Krafty Cheddar,No
169,Lawson.Levine@example.com,785-936-5286,GatorBoost,No
171,Casey.Finley@example.com,306-893-4689,RedCow,No
179,Rishi.Barron@example.com,331-128-4346,Popsi,No
180,Polly.Reyes@example.com,296-740-3450,KittyKat,No
182,Luqman.Carrillo@example.com,124-533-2523,Coca-Splash,Yes
185,Oliver.Garner@example.com,937-976-2511,Dovee,No
187,Gabriela.Norton@example.com,138-968-6467,Dovee,No
188,Alana.Koch@example.com,576-828-7913,Coca-Splash,No
198,Macie.Payne@example.com,782-737-6408,KittyKat,No
199,Martin.Perry@example.com,586-420-6418,GatorBoost,No
